tensor([-1.2872, -0.3137]) 	 tensor([2.7038])
tensor([-0.8988,  0.6691]) 	 tensor([0.1244])
tensor([-0.0432, -1.6332]) 	 tensor([9.6691])
tensor([-0.5532, -1.2627]) 	 tensor([7.3787])
tensor([0.3786, 0.7814]) 	 tensor([2.3082])
tensor([-0.8157,  1.9801]) 	 tensor([-4.1568])
tensor([ 0.8617, -0.6444]) 	 tensor([8.1108])
tensor([-0.3249, -0.5659]) 	 tensor([5.4725])
tensor([-0.6278,  0.0207]) 	 tensor([2.8752])
tensor([ 0.3916, -1.3880]) 	 tensor([9.6919])
tensor([-1.6954, -0.7996]) 	 tensor([3.5362])
tensor([-1.6864, -0.6102]) 	 tensor([2.8960])
tensor([1.3453, 0.2083]) 	 tensor([6.1642])
tensor([-0.6309, -1.9357]) 	 tensor([9.5353])
tensor([-1.3277,  1.1771]) 	 tensor([-2.4515])
tensor([1.5130, 0.9924]) 	 tensor([3.8401])
tensor([-0.3799,  0.5053]) 	 tensor([1.7196])
tensor([-0.3091,  0.1846]) 	 tensor([2.9596])
tensor([-1.1357,  1.1314]) 	 tensor([-1.9223])
tensor([ 0.5259, -0.7108]) 	 tensor([7.6663])
tensor([-1.1942, -2.2525]) 	 tensor([9.4794])
tensor([-0.7801,  1.5038]) 	 tensor([-2.4686])
tensor([1.1074, 0.3221]) 	 tensor([5.3154])
tensor([0.1364, 0.0953]) 	 tensor([4.1454])
tensor([ 0.6810, -0.2609]) 	 tensor([6.4487])
tensor([ 0.1190, -0.5589]) 	 tensor([6.3232])
tensor([-0.4169,  0.0141]) 	 tensor([3.3225])
tensor([ 1.0934, -0.1149]) 	 tensor([6.7906])
tensor([1.1642, 0.5428]) 	 tensor([4.6764])
tensor([-0.6745,  3.3211]) 	 tensor([-8.4458])
tensor([0.2075, 0.2063]) 	 tensor([3.9052])
tensor([-1.0047, -0.5866]) 	 tensor([4.1942])
tensor([1.7230, 0.1998]) 	 tensor([6.9600])
tensor([ 0.7062, -1.4282]) 	 tensor([10.4651])
tensor([ 0.5076, -2.0303]) 	 tensor([12.1229])
tensor([1.0037, 0.2470]) 	 tensor([5.3746])
tensor([-0.9187, -2.1175]) 	 tensor([9.5657])
tensor([1.6639, 0.9492]) 	 tensor([4.3060])
tensor([-1.0219,  0.1618]) 	 tensor([1.6241])
tensor([0.5665, 0.0326]) 	 tensor([5.2373])
tensor([ 1.3139, -0.9668]) 	 tensor([10.1226])
tensor([-1.0456,  0.5950]) 	 tensor([0.0839])
tensor([-0.0433, -0.5954]) 	 tensor([6.1579])
tensor([-0.3455, -0.7476]) 	 tensor([6.0629])
tensor([1.9376, 0.5081]) 	 tensor([6.3574])
tensor([-0.3465,  0.4779]) 	 tensor([1.8852])
tensor([-1.2188, -0.0414]) 	 tensor([1.9087])
tensor([-1.6691,  0.9679]) 	 tensor([-2.4375])
tensor([-1.1192,  0.6984]) 	 tensor([-0.4026])
tensor([-0.2194,  0.6560]) 	 tensor([1.5384])
tensor([ 1.2044, -0.5471]) 	 tensor([8.4726])
tensor([ 1.8286, -1.5505]) 	 tensor([13.1309])
tensor([-0.8360, -0.6430]) 	 tensor([4.7119])
tensor([-0.2237, -0.1360]) 	 tensor([4.2129])
tensor([-0.3688,  0.6329]) 	 tensor([1.3053])
tensor([-0.3798,  0.6580]) 	 tensor([1.2028])
tensor([1.1419, 0.3008]) 	 tensor([5.4604])
tensor([2.0220, 0.4407]) 	 tensor([6.7547])
tensor([0.6206, 1.0050]) 	 tensor([2.0151])
tensor([ 0.0932, -0.6621]) 	 tensor([6.6381])
tensor([-1.2845, -1.4789]) 	 tensor([6.6679])
tensor([ 2.1072, -0.8798]) 	 tensor([11.3965])
tensor([-1.4874, -1.6972]) 	 tensor([6.9759])
tensor([-0.3742, -0.7393]) 	 tensor([5.9595])
tensor([ 1.2677, -0.2173]) 	 tensor([7.4808])
tensor([0.6569, 2.3141]) 	 tensor([-2.3675])
tensor([1.0562, 1.4043]) 	 tensor([1.5467])
tensor([-0.2093, -1.5943]) 	 tensor([9.1989])
tensor([ 1.4789, -1.0858]) 	 tensor([10.8509])
tensor([ 0.0575, -0.5466]) 	 tensor([6.1770])
tensor([-1.6065, -0.1173]) 	 tensor([1.3781])
tensor([-0.4395,  1.0570]) 	 tensor([-0.2780])
tensor([ 0.5348, -0.0136]) 	 tensor([5.3065])
tensor([-2.6705, -0.0231]) 	 tensor([-1.0678])
tensor([-0.9140, -0.0286]) 	 tensor([2.4622])
tensor([-0.1211, -0.0752]) 	 tensor([4.2016])
tensor([1.5183, 0.0980]) 	 tensor([6.9140])
tensor([-0.7389, -0.6048]) 	 tensor([4.7724])
tensor([-0.2010, -0.5441]) 	 tensor([5.6396])
tensor([1.7639, 1.7775]) 	 tensor([1.6786])
tensor([0.7727, 0.5009]) 	 tensor([4.0422])
tensor([0.2689, 3.6008]) 	 tensor([-7.5037])
tensor([ 0.6977, -1.4674]) 	 tensor([10.5733])
tensor([-0.2410,  1.0194]) 	 tensor([0.2505])
tensor([ 0.3078, -0.2710]) 	 tensor([5.7528])
tensor([0.2258, 1.0329]) 	 tensor([1.1403])
tensor([-1.8990,  0.0872]) 	 tensor([0.1107])
tensor([1.4331, 0.2914]) 	 tensor([6.0742])
tensor([-4.3491, -0.4413]) 	 tensor([-2.9926])
tensor([-0.2891, -0.9985]) 	 tensor([7.0143])
tensor([ 0.8448, -0.7584]) 	 tensor([8.4677])
tensor([-3.0455,  0.8240]) 	 tensor([-4.6795])
tensor([-0.5366, -0.3370]) 	 tensor([4.2885])
tensor([-0.4499,  0.2800]) 	 tensor([2.3452])
tensor([-0.5813,  1.5364]) 	 tensor([-2.1993])
tensor([ 1.0231, -0.2447]) 	 tensor([7.0882])
tensor([-0.3668, -0.7870]) 	 tensor([6.1410])
tensor([-2.0527, -0.3739]) 	 tensor([1.3715])
tensor([-0.4430,  0.6339]) 	 tensor([1.1689])
tensor([-1.9598,  0.6160]) 	 tensor([-1.8006])
tensor([-0.5036,  0.8110]) 	 tensor([0.4337])
tensor([-1.1723, -0.0393]) 	 tensor([1.9740])
tensor([-0.6569, -1.8585]) 	 tensor([9.2060])
tensor([0.2921, 1.1297]) 	 tensor([0.9375])
tensor([0.5345, 0.7257]) 	 tensor([2.8101])
tensor([-0.1142, -0.9917]) 	 tensor([7.3486])
tensor([0.7838, 1.6207]) 	 tensor([0.2617])
tensor([0.8260, 0.8495]) 	 tensor([2.9637])
tensor([1.6378, 2.1005]) 	 tensor([0.3433])
tensor([-1.1166,  1.5599]) 	 tensor([-3.3317])
tensor([1.7638, 0.9987]) 	 tensor([4.3292])
tensor([-1.4992,  1.1216]) 	 tensor([-2.6108])
tensor([ 0.3568, -0.2308]) 	 tensor([5.6825])
tensor([ 0.7693, -0.6545]) 	 tensor([7.9748])
tensor([ 1.4117, -1.1143]) 	 tensor([10.7876])
tensor([1.1096, 1.4032]) 	 tensor([1.6489])
tensor([1.2177, 1.9263]) 	 tensor([0.0849])
tensor([ 0.6868, -1.8715]) 	 tensor([11.9406])
tensor([ 0.2697, -1.4889]) 	 tensor([9.8013])
tensor([0.7949, 0.2393]) 	 tensor([4.9827])
tensor([-0.2438, -0.5337]) 	 tensor([5.5379])
tensor([ 1.5908, -1.0057]) 	 tensor([10.8005])
tensor([-0.3157,  1.3774]) 	 tensor([-1.0965])
tensor([ 0.0100, -0.5122]) 	 tensor([5.9662])
tensor([ 0.5854, -1.1109]) 	 tensor([9.1506])
tensor([ 0.3432, -0.0082]) 	 tensor([4.9099])
tensor([-1.1836, -0.6685]) 	 tensor([4.1119])
tensor([0.3248, 1.2545]) 	 tensor([0.5855])
tensor([0.0052, 1.0333]) 	 tensor([0.6950])
tensor([ 1.1009, -0.7850]) 	 tensor([9.0575])
tensor([-0.8401, -0.4874]) 	 tensor([4.1751])
tensor([0.9551, 1.3920]) 	 tensor([1.3678])
tensor([-0.2393,  0.2457]) 	 tensor([2.8809])
tensor([-0.7864, -0.1240]) 	 tensor([3.0587])
tensor([ 1.0458, -0.7040]) 	 tensor([8.6976])
tensor([-0.4432, -0.5183]) 	 tensor([5.0748])
tensor([0.6119, 0.4204]) 	 tensor([3.9899])
tensor([ 0.4029, -0.1096]) 	 tensor([5.3920])
tensor([-0.7546, -0.0441]) 	 tensor([2.8162])
tensor([-0.4325, -0.1646]) 	 tensor([3.8971])
tensor([-1.3464, -1.1686]) 	 tensor([5.4732])
tensor([-0.1936,  0.4500]) 	 tensor([2.2591])
tensor([0.3285, 0.7455]) 	 tensor([2.3243])
tensor([-0.8382, -1.5973]) 	 tensor([7.9572])
tensor([0.8699, 1.3924]) 	 tensor([1.2406])
tensor([-0.6476, -0.6875]) 	 tensor([5.2460])
tensor([ 1.6732, -0.2316]) 	 tensor([8.3235])
tensor([-0.4318,  0.4532]) 	 tensor([1.8018])
tensor([-1.0385,  1.7365]) 	 tensor([-3.7899])
tensor([-0.8349,  0.4038]) 	 tensor([1.1690])
tensor([0.8219, 0.3102]) 	 tensor([4.7846])
tensor([ 1.9966, -0.7010]) 	 tensor([10.5622])
tensor([-0.3241,  0.2783]) 	 tensor([2.5822])
tensor([-0.9743, -0.2857]) 	 tensor([3.2224])
tensor([ 0.3942, -0.6168]) 	 tensor([7.0806])
tensor([-1.1778,  0.3063]) 	 tensor([0.8104])
tensor([ 1.7800, -0.1771]) 	 tensor([8.3572])
tensor([ 1.6933, -0.3033]) 	 tensor([8.6110])
tensor([0.7319, 1.2631]) 	 tensor([1.3722])
tensor([-2.9647,  0.3407]) 	 tensor([-2.8930])
tensor([ 0.6682, -1.2721]) 	 tensor([9.8704])
tensor([ 0.6771, -0.2484]) 	 tensor([6.4025])
tensor([0.1023, 0.0761]) 	 tensor([4.1469])
tensor([-0.0775, -1.1081]) 	 tensor([7.8164])
tensor([ 1.0503, -0.9257]) 	 tensor([9.4433])
tensor([-2.2160,  0.9664]) 	 tensor([-3.5144])
tensor([-0.3145,  0.3452]) 	 tensor([2.4091])
tensor([ 0.9970, -0.2635]) 	 tensor([7.0974])
tensor([-1.3115,  0.9183]) 	 tensor([-1.5532])
tensor([-0.0296,  0.8090]) 	 tensor([1.4027])
tensor([ 0.5673, -0.6295]) 	 tensor([7.4823])
tensor([-0.7305,  0.1451]) 	 tensor([2.2525])
tensor([ 1.1258, -0.7335]) 	 tensor([8.9452])
tensor([ 0.9513, -0.8696]) 	 tensor([9.0562])
tensor([-0.8248,  0.3580]) 	 tensor([1.3389])
tensor([ 0.2334, -0.3463]) 	 tensor([5.8592])
tensor([ 0.3735, -0.2663]) 	 tensor([5.8525])
tensor([0.4486, 0.6409]) 	 tensor([2.9130])
tensor([-0.3840, -0.4764]) 	 tensor([5.0629])
tensor([0.5881, 2.1263]) 	 tensor([-1.8353])
tensor([-0.8177, -0.2784]) 	 tensor([3.5073])
tensor([-1.6508,  0.2629]) 	 tensor([-0.0003])
tensor([-0.8939,  1.6838]) 	 tensor([-3.3199])
tensor([0.5434, 2.0932]) 	 tensor([-1.8243])
tensor([-0.1343,  0.1401]) 	 tensor([3.4461])
tensor([-0.4480,  0.0651]) 	 tensor([3.1017])
tensor([ 0.8112, -3.5588]) 	 tensor([17.9193])
tensor([0.1283, 0.3063]) 	 tensor([3.3953])
tensor([-0.6536, -0.3947]) 	 tensor([4.2378])
tensor([ 0.5409, -0.1860]) 	 tensor([5.9010])
tensor([ 0.0120, -0.5476]) 	 tensor([6.0609])
tensor([-0.1727,  0.9231]) 	 tensor([0.7143])
tensor([-2.3209,  2.1040]) 	 tensor([-7.5935])
tensor([-0.6245, -0.2256]) 	 tensor([3.7153])
tensor([-1.8127, -0.8140]) 	 tensor([3.3444])
tensor([-1.1929, -0.5939]) 	 tensor([3.8328])
tensor([ 1.2257, -1.3909]) 	 tensor([11.4044])
tensor([0.8852, 0.1596]) 	 tensor([5.4231])
tensor([ 1.0096, -0.3402]) 	 tensor([7.3902])
tensor([-0.5098,  0.4475]) 	 tensor([1.6568])
tensor([-0.9334,  1.2510]) 	 tensor([-1.9120])
tensor([-2.8081, -0.4133]) 	 tensor([-0.0271])
tensor([-0.7839,  1.1153]) 	 tensor([-1.1708])
tensor([-1.6336, -0.1806]) 	 tensor([1.5482])
tensor([-0.0365,  0.6640]) 	 tensor([1.8738])
tensor([0.0994, 0.2311]) 	 tensor([3.6105])
tensor([-1.5568, -1.2737]) 	 tensor([5.4224])
tensor([0.6052, 0.2659]) 	 tensor([4.4897])
tensor([-0.3573,  0.1178]) 	 tensor([3.0898])
tensor([0.8402, 1.0058]) 	 tensor([2.4501])
tensor([0.9422, 0.5213]) 	 tensor([4.3103])
tensor([ 0.7820, -1.2010]) 	 tensor([9.8301])
tensor([ 1.6450, -0.1522]) 	 tensor([8.0008])
tensor([-0.5934,  1.1303]) 	 tensor([-0.8514])
tensor([-1.4275,  1.1587]) 	 tensor([-2.5868])
tensor([ 1.2611, -0.1701]) 	 tensor([7.2961])
tensor([1.2546, 1.3163]) 	 tensor([2.2493])
tensor([0.1410, 1.1532]) 	 tensor([0.5560])
tensor([-1.3562, -0.9202]) 	 tensor([4.6271])
tensor([0.6531, 0.3637]) 	 tensor([4.2720])
tensor([-0.2615,  2.3377]) 	 tensor([-4.2679])
tensor([-2.3845, -1.8499]) 	 tensor([5.7174])
tensor([ 0.9289, -0.4134]) 	 tensor([7.4527])
tensor([-0.8032,  0.8874]) 	 tensor([-0.4233])
tensor([-1.0536,  1.7549]) 	 tensor([-3.8679])
tensor([-0.1164,  0.5167]) 	 tensor([2.2080])
tensor([-0.7338, -2.2639]) 	 tensor([10.4243])
tensor([0.8803, 0.7940]) 	 tensor([3.2727])
tensor([-0.5559,  0.5697]) 	 tensor([1.1521])
tensor([-1.6053,  0.2826]) 	 tensor([0.0295])
tensor([0.6518, 0.8490]) 	 tensor([2.6097])
tensor([-0.9366, -0.9500]) 	 tensor([5.5579])
tensor([-0.7592, -0.0462]) 	 tensor([2.8460])
tensor([-0.3053, -0.0936]) 	 tensor([3.8980])
tensor([ 0.5893, -0.7089]) 	 tensor([7.8016])
tensor([1.7046, 1.0944]) 	 tensor([3.8838])
tensor([0.4046, 0.9920]) 	 tensor([1.6370])
tensor([-0.9418, -1.8156]) 	 tensor([8.4954])
tensor([ 0.1793, -0.1107]) 	 tensor([4.9216])
tensor([0.4746, 0.8816]) 	 tensor([2.1351])
tensor([ 1.0381, -0.2275]) 	 tensor([7.0489])
tensor([-1.5801, -1.0642]) 	 tensor([4.6579])
tensor([-0.0917, -1.3891]) 	 tensor([8.7382])
tensor([0.9028, 0.0707]) 	 tensor([5.7643])
tensor([ 0.9746, -0.7440]) 	 tensor([8.6765])
tensor([-0.3512, -0.2676]) 	 tensor([4.4127])
tensor([-0.1159, -0.7566]) 	 tensor([6.5300])
tensor([ 0.4528, -0.8653]) 	 tensor([8.0610])
tensor([ 0.6798, -0.7331]) 	 tensor([8.0599])
tensor([-1.1053,  1.0603]) 	 tensor([-1.6116])
tensor([1.2726, 0.2349]) 	 tensor([5.9295])
tensor([ 0.3380, -0.4882]) 	 tensor([6.5380])
tensor([-0.5759, -0.0871]) 	 tensor([3.3395])
tensor([0.2256, 0.4528]) 	 tensor([3.1281])
tensor([-0.0715,  2.3181]) 	 tensor([-3.8233])
tensor([-1.8948, -0.2822]) 	 tensor([1.3642])
tensor([ 0.3748, -0.2343]) 	 tensor([5.7451])
tensor([-1.2016, -0.3836]) 	 tensor([3.1034])
tensor([0.3119, 1.5644]) 	 tensor([-0.4991])
tensor([-1.4059, -0.3276]) 	 tensor([2.4937])
tensor([ 1.6668, -0.4581]) 	 tensor([9.1060])
tensor([-1.4810, -1.9247]) 	 tensor([7.7832])
tensor([ 0.4537, -0.5484]) 	 tensor([6.9744])
tensor([0.3838, 0.3212]) 	 tensor([3.8766])
tensor([ 0.2320, -0.6074]) 	 tensor([6.7409])
tensor([-0.8223,  0.6135]) 	 tensor([0.4644])
tensor([-0.1849,  1.0896]) 	 tensor([0.1290])
tensor([ 1.4867, -0.4626]) 	 tensor([8.7690])
tensor([-0.2549, -1.3940]) 	 tensor([8.4435])
tensor([ 0.1591, -0.6493]) 	 tensor([6.7198])
tensor([-1.3604, -0.5388]) 	 tensor([3.3068])
tensor([ 1.7505, -0.8987]) 	 tensor([10.7647])
tensor([0.6183, 0.9300]) 	 tensor([2.2700])
tensor([-1.0127,  0.2799]) 	 tensor([1.2358])
tensor([0.0986, 1.0862]) 	 tensor([0.7036])
tensor([1.5407, 1.6479]) 	 tensor([1.6860])
tensor([ 0.8739, -1.4290]) 	 tensor([10.7936])
tensor([ 1.0090, -0.2965]) 	 tensor([7.2401])
tensor([-1.3462, -0.4915]) 	 tensor([3.1828])
tensor([0.6109, 0.7283]) 	 tensor([2.9397])
tensor([ 0.7716, -0.7302]) 	 tensor([8.2154])
tensor([0.8458, 1.2814]) 	 tensor([1.5441])
tensor([-0.6542,  1.1717]) 	 tensor([-1.0949])
tensor([ 0.8358, -2.0065]) 	 tensor([12.6939])
tensor([1.8635, 0.6834]) 	 tensor([5.6035])
tensor([-1.1798, -1.0079]) 	 tensor([5.2600])
tensor([0.3335, 0.5091]) 	 tensor([3.1375])
tensor([1.0354, 1.6669]) 	 tensor([0.5859])
tensor([-0.8682, -0.4703]) 	 tensor([4.0554])
tensor([1.1558, 0.3477]) 	 tensor([5.3196])
tensor([-0.9941,  0.0509]) 	 tensor([2.0348])
tensor([-0.7110,  0.9450]) 	 tensor([-0.4359])
tensor([-0.8585,  0.1108]) 	 tensor([2.1170])
tensor([-0.6995, -0.7005]) 	 tensor([5.1641])
tensor([-0.5781, -0.0609]) 	 tensor([3.2425])
tensor([-0.6641,  1.3863]) 	 tensor([-1.8375])
tensor([-0.0211,  2.5466]) 	 tensor([-4.4873])
tensor([2.3305, 0.2864]) 	 tensor([7.8835])
tensor([-2.6427,  0.3196]) 	 tensor([-2.1676])
tensor([0.9879, 0.2371]) 	 tensor([5.3715])
tensor([ 1.7332, -0.3508]) 	 tensor([8.8630])
tensor([-0.1363, -0.0773]) 	 tensor([4.1843])
tensor([-0.7833, -0.4756]) 	 tensor([4.2505])
tensor([ 0.3728, -0.0736]) 	 tensor([5.2053])
tensor([-0.4111,  0.3543]) 	 tensor([2.1750])
tensor([0.3970, 1.4543]) 	 tensor([0.0344])
tensor([-1.9241,  0.1683]) 	 tensor([-0.2127])
tensor([-1.1748, -0.3065]) 	 tensor([2.8946])
tensor([ 0.2053, -0.9686]) 	 tensor([7.9255])
tensor([-0.7126,  0.9806]) 	 tensor([-0.5798])
tensor([ 0.6326, -0.2353]) 	 tensor([6.2576])
tensor([-0.9914,  0.1874]) 	 tensor([1.5735])
tensor([ 0.1847, -0.3804]) 	 tensor([5.8533])
tensor([-0.4038, -0.7277]) 	 tensor([5.8651])
tensor([ 0.1907, -0.8947]) 	 tensor([7.6392])
tensor([-0.3202,  0.6639]) 	 tensor([1.3095])
tensor([0.5645, 0.5965]) 	 tensor([3.2981])
tensor([ 0.0153, -0.5359]) 	 tensor([6.0383])
tensor([ 0.2341, -1.3729]) 	 tensor([9.3375])
tensor([-0.2206,  0.6586]) 	 tensor([1.5351])
tensor([-0.3281, -0.4716]) 	 tensor([5.1514])
tensor([-0.6299, -0.5566]) 	 tensor([4.8509])
tensor([0.3739, 0.6532]) 	 tensor([2.7432])
tensor([ 0.9104, -0.9148]) 	 tensor([9.1362])
tensor([-0.0098,  0.3740]) 	 tensor([2.9018])
tensor([0.9515, 1.5274]) 	 tensor([0.9045])
tensor([-0.3078,  0.8667]) 	 tensor([0.6278])
tensor([-0.1484,  0.0037]) 	 tensor([3.9000])
tensor([ 0.7638, -0.0892]) 	 tensor([6.0422])
tensor([-0.5155,  1.8609]) 	 tensor([-3.1723])
tensor([-0.4592, -0.8065]) 	 tensor([6.0169])
tensor([-1.5721, -0.4004]) 	 tensor([2.4270])
tensor([0.9234, 0.2498]) 	 tensor([5.1957])
tensor([ 1.4597, -0.3237]) 	 tensor([8.2032])
tensor([-0.4513, -0.3519]) 	 tensor([4.4953])
tensor([-1.1974,  2.1635]) 	 tensor([-5.5616])
tensor([-0.5065,  0.0454]) 	 tensor([3.0354])
tensor([-0.1633,  0.2264]) 	 tensor([3.0985])
tensor([1.6067, 0.0521]) 	 tensor([7.2448])
tensor([-2.1920, -0.7760]) 	 tensor([2.4745])
tensor([ 0.9725, -2.2684]) 	 tensor([13.8466])
tensor([ 0.6667, -0.2195]) 	 tensor([6.2871])
tensor([ 0.7312, -0.9799]) 	 tensor([8.9894])
tensor([1.4314, 0.0693]) 	 tensor([6.8209])
tensor([ 1.0113, -0.3864]) 	 tensor([7.5417])
tensor([ 0.7712, -1.3757]) 	 tensor([10.4315])
tensor([-1.1366, -2.1696]) 	 tensor([9.3100])
tensor([1.4104, 0.6223]) 	 tensor([4.8953])
tensor([ 0.6584, -2.2669]) 	 tensor([13.2460])
tensor([ 0.2287, -1.6069]) 	 tensor([10.1131])
tensor([-1.2541,  1.1802]) 	 tensor([-2.3139])
tensor([ 0.5982, -0.7028]) 	 tensor([7.7930])
tensor([-0.0006, -0.4300]) 	 tensor([5.6561])
tensor([-0.0443,  0.2199]) 	 tensor([3.3640])
tensor([-0.7855, -1.2578]) 	 tensor([6.8986])
tensor([-0.8090,  0.4274]) 	 tensor([1.1382])
tensor([-0.8173, -1.3034]) 	 tensor([6.9881])
tensor([0.0822, 0.4491]) 	 tensor([2.8497])
tensor([0.4621, 0.2694]) 	 tensor([4.2246])
tensor([-0.8649, -0.5541]) 	 tensor([4.3425])
tensor([-0.5990,  1.0972]) 	 tensor([-0.7363])
tensor([ 0.2056, -0.8931]) 	 tensor([7.6587])
tensor([-0.4922, -2.0746]) 	 tensor([10.2710])
tensor([ 0.1141, -0.1284]) 	 tensor([4.8689])
tensor([1.3055, 0.4924]) 	 tensor([5.1391])
tensor([-0.6120,  1.4203]) 	 tensor([-1.8522])
tensor([-1.2786, -1.2496]) 	 tensor([5.8978])
tensor([ 1.5359, -0.2239]) 	 tensor([8.0107])
tensor([-0.0506, -0.0556]) 	 tensor([4.2892])
tensor([0.1381, 0.0870]) 	 tensor([4.1887])
tensor([0.6549, 0.5807]) 	 tensor([3.5249])
tensor([-1.5296,  0.3388]) 	 tensor([-0.0200])
tensor([ 2.6492, -0.6338]) 	 tensor([11.6436])
tensor([1.0856, 0.6781]) 	 tensor([4.0580])
tensor([-0.6205, -0.3032]) 	 tensor([3.9832])
tensor([ 0.7498, -0.6013]) 	 tensor([7.7532])
tensor([-0.2683,  0.9412]) 	 tensor([0.4550])
tensor([ 0.8921, -0.2846]) 	 tensor([6.9567])
tensor([-1.0837, -0.1194]) 	 tensor([2.4307])
tensor([0.5566, 0.4545]) 	 tensor([3.7671])
tensor([-2.3077, -0.1259]) 	 tensor([0.0186])
tensor([-2.0205, -1.0713]) 	 tensor([3.7950])
tensor([-0.7434,  0.6642]) 	 tensor([0.4455])
tensor([-0.8731,  0.2051]) 	 tensor([1.7670])
tensor([-0.1579, -1.1673]) 	 tensor([7.8378])
tensor([0.0380, 0.7592]) 	 tensor([1.6821])
tensor([-0.1472,  1.4274]) 	 tensor([-0.9480])
tensor([0.2961, 2.0113]) 	 tensor([-2.0447])
tensor([-0.2675, -0.4482]) 	 tensor([5.1930])
tensor([0.2250, 1.0089]) 	 tensor([1.2088])
tensor([-0.6957, -1.2961]) 	 tensor([7.2108])
tensor([ 1.5444, -0.8716]) 	 tensor([10.2639])
tensor([-1.1760,  0.0409]) 	 tensor([1.7154])
tensor([-0.2570,  1.7525]) 	 tensor([-2.2817])
tensor([-0.3050,  0.5690]) 	 tensor([1.6589])
tensor([ 1.5070, -0.5934]) 	 tensor([9.2280])
tensor([-0.8000,  1.5819]) 	 tensor([-2.7857])
tensor([-1.4717, -0.8267]) 	 tensor([4.0611])
tensor([ 0.0121, -0.4349]) 	 tensor([5.7165])
tensor([-0.8637, -0.5176]) 	 tensor([4.2130])
tensor([0.1707, 0.6339]) 	 tensor([2.3966])
tensor([1.8832, 0.9949]) 	 tensor([4.5913])
tensor([0.2765, 0.9043]) 	 tensor([1.6660])
tensor([0.1211, 0.1368]) 	 tensor([3.9750])
tensor([-1.7926, -0.2329]) 	 tensor([1.4160])
tensor([1.0566, 1.2836]) 	 tensor([1.9642])
tensor([0.6023, 0.2808]) 	 tensor([4.4590])
tensor([ 0.7827, -0.4412]) 	 tensor([7.2730])
tensor([0.0250, 0.3612]) 	 tensor([3.0157])
tensor([-0.1083, -0.3932]) 	 tensor([5.3232])
tensor([ 1.2405, -0.4126]) 	 tensor([8.0840])
tensor([-0.4271, -0.0506]) 	 tensor([3.5311])
tensor([ 0.5189, -0.5533]) 	 tensor([7.1187])
tensor([0.4969, 0.9458]) 	 tensor([1.9854])
tensor([-0.5220, -0.3517]) 	 tensor([4.3739])
tensor([1.5018, 0.8639]) 	 tensor([4.2605])
tensor([-0.3053, -0.5601]) 	 tensor([5.4868])
tensor([ 0.8028, -0.4906]) 	 tensor([7.4826])
tensor([0.4863, 0.8832]) 	 tensor([2.1787])
tensor([-0.6920, -0.7837]) 	 tensor([5.4903])
tensor([1.3893, 0.3312]) 	 tensor([5.8600])
tensor([-0.0923, -0.6093]) 	 tensor([6.1021])
tensor([ 0.9153, -0.3388]) 	 tensor([7.1838])
tensor([0.3585, 0.8812]) 	 tensor([1.9138])
tensor([ 0.4647, -0.2517]) 	 tensor([5.9959])
tensor([-1.6886, -1.4874]) 	 tensor([5.8689])
tensor([ 1.3575, -1.2933]) 	 tensor([11.3045])
tensor([0.0188, 0.9001]) 	 tensor([1.1949])
tensor([0.7265, 0.9508]) 	 tensor([2.4280])
tensor([-0.4830, -0.1379]) 	 tensor([3.6984])
tensor([0.0417, 1.9670]) 	 tensor([-2.4154])
tensor([-0.3306, -1.1109]) 	 tensor([7.3016])
tensor([-1.4192,  0.7060]) 	 tensor([-1.0373])
tensor([-0.9605, -1.2383]) 	 tensor([6.4995])
tensor([ 0.3921, -0.4911]) 	 tensor([6.6586])
tensor([1.0486, 0.4374]) 	 tensor([4.8121])
tensor([1.1705, 0.5305]) 	 tensor([4.7319])
tensor([0.5320, 0.5303]) 	 tensor([3.4545])
tensor([-0.4426, -0.8894]) 	 tensor([6.3422])
tensor([ 0.6666, -0.4643]) 	 tensor([7.1097])
tensor([ 0.9820, -1.6228]) 	 tensor([11.6848])
tensor([1.1696, 0.9914]) 	 tensor([3.1695])
tensor([ 0.9682, -1.1016]) 	 tensor([9.8869])
tensor([1.3672, 2.1482]) 	 tensor([-0.3694])
tensor([-0.5090, -0.2943]) 	 tensor([4.1819])
tensor([-0.4743,  0.4964]) 	 tensor([1.5593])
tensor([-0.9637, -1.7185]) 	 tensor([8.1109])
tensor([-0.3413, -0.3902]) 	 tensor([4.8451])
tensor([-0.6141, -0.7600]) 	 tensor([5.5516])
tensor([ 0.1547, -1.5017]) 	 tensor([9.6104])
tensor([ 0.1650, -0.3798]) 	 tensor([5.8046])
tensor([-1.3076, -0.5379]) 	 tensor([3.4068])
tensor([-0.7797, -0.0117]) 	 tensor([2.6715])
tensor([-0.5134,  0.0007]) 	 tensor([3.1756])
tensor([ 0.4936, -1.7650]) 	 tensor([11.1827])
tensor([-0.0378,  0.8041]) 	 tensor([1.3826])
tensor([0.6325, 1.0924]) 	 tensor([1.7528])
tensor([-1.5847,  0.6287]) 	 tensor([-1.1070])
tensor([ 1.6310, -0.7285]) 	 tensor([9.9257])
tensor([0.0975, 0.3053]) 	 tensor([3.3720])
tensor([ 0.9197, -1.3458]) 	 tensor([10.6164])
tensor([0.1996, 0.8384]) 	 tensor([1.7292])
tensor([ 0.7851, -0.1561]) 	 tensor([6.3069])
tensor([ 1.7723, -0.5628]) 	 tensor([9.6491])
